Date,EUR_USD open,EUR_USD high,EUR_USD low,EUR_USD close,EUR_USD volume,AUD_USD open,AUD_USD high,AUD_USD low,AUD_USD close,AUD_USD volume,GBP_USD open,GBP_USD high,GBP_USD low,GBP_USD close,GBP_USD volume,USD_CAD open,USD_CAD high,USD_CAD low,USD_CAD close,USD_CAD volume,NZD_USD open,NZD_USD high,NZD_USD low,NZD_USD close,NZD_USD volume,USD_CHF open,USD_CHF high,USD_CHF low,USD_CHF close,USD_CHF volume,USD_JPY open,USD_JPY high,USD_JPY low,USD_JPY close,USD_JPY volume,USD_NOK open,USD_NOK high,USD_NOK low,USD_NOK close,USD_NOK volume,USD_SEK open,USD_SEK high,USD_SEK low,USD_SEK close,USD_SEK volume,VIX High,VIX Low,VIX Open,VIX Close,VIX Volume,VIX Adj Close,EUR_USD ATR,EUR_USD OBV,EUR_USD RSI,EUR_USD BB_up,EUR_USD BB_dn,AUD_USD ATR,AUD_USD OBV,AUD_USD RSI,AUD_USD BB_up,AUD_USD BB_dn,GBP_USD ATR,GBP_USD OBV,GBP_USD RSI,GBP_USD BB_up,GBP_USD BB_dn,USD_CAD ATR,USD_CAD OBV,USD_CAD RSI,USD_CAD BB_up,USD_CAD BB_dn,NZD_USD ATR,NZD_USD OBV,NZD_USD RSI,NZD_USD BB_up,NZD_USD BB_dn,USD_CHF ATR,USD_CHF OBV,USD_CHF RSI,USD_CHF BB_up,USD_CHF BB_dn,USD_JPY ATR,USD_JPY OBV,USD_JPY RSI,USD_JPY BB_up,USD_JPY BB_dn,USD_NOK ATR,USD_NOK OBV,USD_NOK RSI,USD_NOK BB_up,USD_NOK BB_dn,USD_SEK ATR,USD_SEK OBV,USD_SEK RSI,USD_SEK BB_up,USD_SEK BB_dn
2016-12-16,1.04116,1.04741,1.04006,1.04513,132520,0.73556,0.73691,0.72659,0.72978,152495,1.24275,1.25104,1.23828,1.2483,149155,1.33344,1.33923,1.33182,1.33396,172206,0.70293,0.705,0.6931,0.6958,176345,1.0297,1.03117,1.02412,1.02654,171515,118.188,118.425,117.469,117.965,181180,8.66179,8.7147,8.64214,8.66949,103268,9.40669,9.44742,9.33719,9.33782,128985,12.94999981,12.14999962,12.88000011,12.19999981,0,12.19999981,0.01172602,-1723531,35.00181883,1.082066836,1.041158878,0.008041585,633429,33.3539096,0.75544512,0.731999166,0.013460715,-3904895,47.0535157,1.278373554,1.240029303,0.009843318,2139209,52.34407611,1.34669419,1.308020096,0.008328437,-926105,35.421958,0.724660981,0.699164733,0.008752012,3044314,65.98636859,1.028691041,1.000808959,1.370880077,2415934,80.87885322,118.3232384,111.4791901,0.10218821,2220026,65.75735156,8.677348089,8.274290483,0.100753666,1379788,64.0965134,9.373292476,9.008463238
2016-12-19,1.0437,1.04795,1.03925,1.04012,113464,0.72861,0.73128,0.72421,0.72442,128311,1.24757,1.25022,1.23551,1.23923,144764,1.33396,1.34226,1.33174,1.34071,132835,0.69644,0.69893,0.69258,0.69282,163728,1.02633,1.02828,1.0221,1.0268,174760,117.959,117.966,116.547,117.087,187869,8.68365,8.69791,8.63081,8.68489,92851,9.35749,9.39465,9.32683,9.36861,145697,12.52000046,11.67000008,12.5,11.71000004,0,11.71000004,0.011509876,-1836995,32.7709679,1.083161212,1.036525931,0.007972186,505118,30.1345586,0.757283539,0.726749318,0.01354995,-4049659,42.45410476,1.279855907,1.237164093,0.009891652,2272044,57.33076803,1.34595873,1.308414127,0.00818712,-1089833,33.62137494,0.72680308,0.694191205,0.008568297,3219074,66.14820785,1.031023575,1.000704997,1.374317214,2228065,73.38234614,118.5126626,111.9633374,0.099681909,2312877,66.51939294,8.717374341,8.257638516,0.098401261,1525485,65.73278546,9.409942758,8.999872957
2016-12-20,1.04009,1.04178,1.03522,1.03859,109044,0.72458,0.72622,0.72228,0.72596,117768,1.23958,1.24111,1.23127,1.23633,129745,1.34052,1.34341,1.33599,1.33659,129269,0.69288,0.69327,0.68824,0.69155,151489,1.02706,1.03204,1.02597,1.02825,188488,117.094,118.242,116.985,117.842,168423,8.68739,8.7255,8.67259,8.70159,77318,9.36739,9.40973,9.34099,9.34709,125169,11.75,11.38000011,11.64999962,11.44999981,0,11.44999981,0.011156313,-1946039,32.0981488,1.084354296,1.032454275,0.007684173,622886,32.16058134,0.758592825,0.723670032,0.013284953,-4179404,41.07172159,1.281641116,1.233348884,0.009715105,2142775,53.64122596,1.343838415,1.309517299,0.007961611,-1241322,32.85487426,0.728509119,0.690110881,0.008389847,3407562,67.08870021,1.033209316,1.00011497,1.365937413,2396488,75.48645056,118.9967266,111.9644162,0.096341059,2390195,67.36748346,8.75700892,8.243703937,0.0962826,1400316,63.55271631,9.432000987,8.994814727
2016-12-21,1.03855,1.04512,1.03822,1.04225,98583,0.72595,0.72793,0.72346,0.72382,105936,1.23653,1.23905,1.23239,1.23523,131762,1.33651,1.34272,1.33578,1.34117,114458,0.69171,0.69478,0.6893,0.68977,142575,1.02851,1.02955,1.02266,1.0267,142417,117.846,118.068,117.107,117.539,142479,8.70199,8.70908,8.62966,8.67812,73147,9.34629,9.35784,9.21356,9.22242,123940,11.48999977,10.93000031,11.43999958,11.27000046,0,11.27000046,0.010852291,-1847456,35.50914709,1.083603175,1.029809682,0.007454589,516950,30.82295764,0.759630689,0.720119311,0.012811742,-4311166,40.53259283,1.282677779,1.228919364,0.009516884,2257233,56.95739174,1.346045871,1.3086627,0.007784353,-1383897,31.76191319,0.729809981,0.686082876,0.008282715,3265145,65.0094884,1.03475631,1.000915118,1.337013312,2254009,72.99267616,119.3040757,112.1539243,0.095132412,2317048,64.88010576,8.787073541,8.25148503,0.099710985,1276376,52.65714685,9.433049617,8.995808955
2016-12-22,1.04238,1.04993,1.04228,1.0435,104489,0.7228,0.7258,0.71974,0.72164,111424,1.23517,1.23782,1.2277,1.22814,118533,1.34122,1.35205,1.34117,1.34808,141144,0.68962,0.69255,0.6888,0.69004,146650,1.02665,1.02694,1.02182,1.02501,158368,117.541,117.876,117.267,117.508,138784,8.67879,8.72422,8.6598,8.70969,79567,9.21952,9.22896,9.14389,9.21519,118573,11.67000008,11.14000034,11.31999969,11.43000031,0,11.43000031,0.010625699,-1742967,36.67907936,1.082052437,1.027977563,0.007354975,405526,29.47792041,0.759824702,0.716489584,0.012619475,-4429699,37.14787972,1.281228728,1.223936986,0.009614249,2398377,61.43914735,1.350494221,1.307010064,0.007496185,-1237247,32.13072645,0.729727165,0.682727121,0.008056807,3106777,62.7268226,1.035608334,1.002178809,1.285012361,2115225,72.72795219,119.4676636,112.5566221,0.092938668,2396615,66.66315012,8.817638124,8.265389019,0.098665201,1157803,52.09930795,9.434732968,8.999757032
2016-12-23,1.04333,1.04686,1.04264,1.04558,74801,0.72165,0.72273,0.71599,0.71745,89315,1.22825,1.22986,1.22281,1.22876,92678,1.34818,1.35568,1.34796,1.35341,114584,0.69007,0.69124,0.68619,0.68786,109487,1.02516,1.02808,1.0243,1.02647,118302,117.513,117.61,117.172,117.349,92267,8.70989,8.7228,8.68429,8.69677,63066,9.21829,9.24217,9.18589,9.19996,88673,11.81000042,11.35000038,11.38000011,11.43999958,0,11.43999958,0.010168149,-1668166,38.67275302,1.077291311,1.028354403,0.007311049,316211,27.03593221,0.759641839,0.712431018,0.012221655,-4337021,37.6382968,1.278107575,1.220729568,0.009478946,2512961,64.50889683,1.356004684,1.305263888,0.007321458,-1346734,30.6885022,0.729312634,0.679410223,0.007751321,3225079,63.90592713,1.035763823,1.004931891,1.224511478,2022958,71.29964552,119.5425522,112.9845907,0.089050906,2333549,65.20414516,8.8335343,8.296304271,0.095637686,1069130,50.87661897,9.43269261,9.014598819
2016-12-27,1.04508,1.04633,1.04321,1.04551,77130,0.71819,0.71968,0.71723,0.71832,91141,1.22729,1.22865,1.22405,1.22666,113165,1.35044,1.35803,1.35044,1.35733,109549,0.68938,0.69039,0.68787,0.68889,103231,1.0265,1.02981,1.0265,1.02728,151470,117.062,117.619,117.039,117.398,115328,8.68149,8.72348,8.67869,8.69609,49361,9.19689,9.2501,9.1966,9.21069,77592,12.32999992,11.84000015,12.26000023,11.98999977,0,11.98999977,0.00966471,-1745296,38.62867359,1.073101615,1.028804099,0.006963831,407352,28.36294274,0.758669134,0.709439438,0.011685109,-4450186,36.59669947,1.275546845,1.217443155,0.009344021,2622510,66.61395828,1.361752151,1.303762135,0.006979211,-1243503,32.23616255,0.7285369,0.676891671,0.007436226,3376549,64.57546766,1.036155037,1.007024963,1.178474944,2138286,71.4854985,119.5574534,113.4561181,0.085889413,2284188,65.12335866,8.845339196,8.326670804,0.092627852,1146722,51.73601185,9.43044513,9.030289156
2016-12-28,1.04552,1.04797,1.03721,1.04078,83976,0.71837,0.72197,0.71637,0.71754,99744,1.2269,1.22965,1.22007,1.22238,76615,1.35754,1.35987,1.35393,1.35595,114135,0.68871,0.69301,0.68869,0.69178,112790,1.02768,1.03213,1.02643,1.02763,163801,117.401,117.813,117.054,117.227,135678,8.68269,8.75765,8.68269,8.71619,75012,9.21939,9.22474,9.17951,9.19519,127543,13.03999996,11.85000038,11.89000034,12.94999981,0,12.94999981,0.009742945,-1829272,35.67009571,1.0662878,1.030709342,0.006866414,307608,27.87348341,0.756516082,0.707213918,0.011534744,-4526801,34.5010831,1.273835148,1.213456281,0.009100877,2508375,65.14898192,1.365993058,1.304196942,0.006789267,-1130713,36.51925721,0.726108099,0.67580333,0.00731221,3540350,64.87863337,1.035226704,1.010910439,1.148512448,2002608,69.78709032,119.3701674,114.142404,0.08510874,2359200,66.44669646,8.84469924,8.377669332,0.089242291,1019179,50.36528335,9.417159342,9.062383515
2016-12-29,1.04129,1.04938,1.0408,1.04891,94095,0.71678,0.72233,0.7165,0.72178,111757,1.22258,1.22742,1.22088,1.22578,106108,1.35564,1.356,1.3481,1.35019,140581,0.69173,0.69705,0.69158,0.69605,142352,1.02756,1.02857,1.0207,1.02243,180554,117.163,117.174,116.229,116.534,168319,8.71959,8.72142,8.63708,8.63896,77872,9.19499,9.19728,9.1007,9.1007,122543,13.71000004,12.94999981,13.14999962,13.36999989,0,13.36999989,0.009661306,-1735177,43.65778582,1.063802024,1.031416548,0.006792385,419365,34.49137632,0.753804124,0.706418733,0.011177976,-4420693,37.55989867,1.271651876,1.210989553,0.0090151,2367794,59.28812435,1.367702876,1.306958552,0.006695034,-988361,42.32019467,0.722873198,0.676015373,0.007352052,3359796,57.06479839,1.035030233,1.011994052,1.137761559,1834289,63.23057528,119.0396041,114.8301101,0.08505383,2281328,57.42996249,8.8345764,8.418029314,0.089766413,896636,42.90280597,9.420103559,9.056610727
2016-12-30,1.04885,1.0652,1.0483,1.05175,135644,0.72187,0.72466,0.72043,0.72047,140324,1.22568,1.23877,1.22453,1.23266,153996,1.35041,1.35073,1.3401,1.34463,163836,0.69608,0.69788,0.69309,0.69321,172837,1.02253,1.02316,1.00528,1.0183,211678,116.522,117.195,116.043,117.039,214326,8.63644,8.64838,8.51292,8.63785,94158,9.10739,9.12684,8.98228,9.09798,117827,14.68000031,13.05000019,13.19999981,14.03999996,0,14.03999996,0.010178355,-1599533,46.17214797,1.063033816,1.031614756,0.006609357,279041,33.46957811,0.750867617,0.705830955,0.011396692,-4266697,43.3273857,1.268758402,1.210375883,0.00913045,2203958,54.21783551,1.367623438,1.31087799,0.00655896,-1161198,39.72036687,0.720116918,0.67585451,0.008104049,3148118,51.73536041,1.034936028,1.012246829,1.13877859,2048615,65.755409,118.9308893,115.1942536,0.088654271,2187170,57.30959068,8.831752351,8.440109077,0.093680241,778809,42.70664395,9.427026702,9.039121869
2017-01-03,1.04523,1.049,1.03401,1.04048,120824,0.71807,0.72409,0.71807,0.72159,120001,1.22748,1.23066,1.2199,1.22374,132354,1.34382,1.34607,1.33984,1.34273,129675,0.69179,0.69743,0.68849,0.69157,147984,1.02271,1.03352,1.02108,1.02697,174732,117.481,118.61,117.215,117.729,195616,8.65529,8.68795,8.62735,8.65309,90491,9.11999,9.20471,9.1021,9.15735,139200,14.06999969,12.85000038,14.06999969,12.85000038,0,12.85000038,0.010718473,-1720357,38.77683529,1.058726052,1.032646805,0.00656726,399042,35.23609997,0.745483086,0.707224057,0.011494071,-4399051,38.37784691,1.26205587,1.21088413,0.008923275,2074283,52.56354001,1.365395088,1.31735634,0.006729034,-1309182,38.25873591,0.71486948,0.677226234,0.008612331,3322850,60.1493547,1.03425993,1.014915784,1.169651548,2244231,68.89792637,118.7285582,115.7852989,0.086650395,2277661,58.59283237,8.81034829,8.492328853,0.094612366,918009,48.26673552,9.42728481,9.03801519
2017-01-04,1.04054,1.04998,1.03899,1.04865,120255,0.72174,0.72866,0.72146,0.72823,143474,1.22387,1.23529,1.22213,1.23216,136854,1.34263,1.34572,1.32818,1.33008,156555,0.6915,0.69753,0.68897,0.69638,174691,1.02728,1.02909,1.02007,1.02024,189449,117.738,118.185,117.05,117.221,198116,8.65085,8.66701,8.5843,8.58632,98749,9.15244,9.17512,9.09369,9.09369,186544,12.80000019,11.63000011,12.77999973,11.85000038,0,11.85000038,0.010737868,-1600102,45.58148777,1.053820988,1.035593297,0.006612456,542516,44.62375242,0.738415847,0.711188439,0.011613066,-4262197,44.78931259,1.253380724,1.214767847,0.009538755,1917728,43.12826598,1.361573731,1.32363484,0.006859817,-1134491,44.68758213,0.707101304,0.68159441,0.00864145,3133401,52.49864244,1.032249991,1.018084295,1.167176438,2046115,64.22499816,118.2671598,116.5382687,0.086368938,2178912,51.31497772,8.754054273,8.573670013,0.093670769,731465,43.40288168,9.432931902,9.023610956
2017-01-05,1.0488,1.06152,1.04806,1.06055,150520,0.7283,0.73566,0.72728,0.73329,185918,1.23205,1.24323,1.22699,1.24115,170952,1.32993,1.33127,1.31915,1.32242,171791,0.69679,0.70364,0.69536,0.7025,216166,1.02019,1.02211,1.00867,1.00959,214898,117.213,117.429,115.218,115.345,263809,8.58719,8.60028,8.47219,8.47449,125142,9.10429,9.11163,8.9768,8.98118,181293,12.09000015,11.39999962,11.96000004,11.67000008,0,11.67000008,0.010932306,-1449582,53.66038661,1.056890538,1.033552319,0.006738709,728434,50.51084867,0.73568689,0.712880253,0.011943562,-4091245,50.68860625,1.24833427,1.217687159,0.00972313,1745937,38.60887432,1.362686513,1.32171063,0.006961259,-918325,51.59392895,0.703168782,0.684226933,0.008984204,2918503,43.14606494,1.035097085,1.013784343,1.241735264,1782306,50.58143244,118.6769872,115.88787,0.089349014,2053770,41.92272054,8.783684277,8.531231437,0.096610714,550172,36.4180162,9.452555052,8.966439234
2017-01-06,1.06022,1.06209,1.0525,1.05309,125022,0.73382,0.73549,0.72882,0.7298,153374,1.2413,1.24303,1.22609,1.22849,152425,1.32254,1.32681,1.31772,1.32341,153795,0.70265,0.70436,0.69539,0.6958,172121,1.00961,1.0184,1.00936,1.01778,198877,115.333,117.18,115.069,116.957,220814,8.47829,8.54574,8.45599,8.53271,98660,8.98611,9.07583,8.98376,9.05722,137070,11.73999977,10.97999954,11.69999981,11.31999969,0,11.31999969,0.010836427,-1574604,48.77213223,1.058205733,1.033921409,0.006733801,575060,46.81414766,0.733797178,0.713929965,0.01230045,-4243670,43.62017607,1.246716111,1.217428175,0.009677906,1899732,39.49139769,1.363903425,1.319048004,0.007104741,-1090446,44.97344203,0.700881984,0.685406587,0.008988189,3117380,50.45570325,1.034274708,1.012866721,1.303825602,2003120,58.70017679,118.5003395,115.891089,0.089377656,2152430,47.32784251,8.79098102,8.505626123,0.096470663,687242,43.08462197,9.412203957,8.957094615
2017-01-09,1.05306,1.05828,1.05107,1.05726,103080,0.7294,0.73738,0.72884,0.73537,118423,1.22547,1.22707,1.21237,1.21596,127353,1.32433,1.32771,1.31969,1.3215,121474,0.69635,0.70324,0.69488,0.70155,132369,1.01714,1.01974,1.01417,1.01488,135603,117.018,117.534,115.953,116.014,176219,8.53536,8.58309,8.52315,8.53644,83461,9.05922,9.09239,9.0389,9.04014,131916,12.07999992,11.46000004,11.71000004,11.56000042,0,11.56000042,0.010577396,-1471524,51.43532381,1.060439347,1.033420653,0.006862816,693483,52.75683763,0.735574668,0.712951046,0.012573275,-4371023,37.97573595,1.243557362,1.215966924,0.009559484,1778258,38.3460839,1.365182218,1.315989211,0.007194402,-958077,50.8074665,0.702427179,0.684682821,0.008744033,2981777,48.09762729,1.03423195,1.011243765,1.323623773,1826901,53.19466002,118.4223637,115.6903506,0.087274966,2235891,47.6639064,8.792682993,8.484917007,0.093400615,555326,42.01889545,9.384836757,8.941936101
2017-01-10,1.05737,1.06269,1.05508,1.05539,120052,0.73529,0.73846,0.7331,0.7367,135076,1.21584,1.21897,1.21072,1.21767,136008,1.32166,1.32573,1.31919,1.32313,132571,0.70162,0.70475,0.69585,0.69881,155581,1.01435,1.01782,1.01106,1.0166,153773,115.951,116.344,115.196,115.771,214609,8.53352,8.61107,8.50478,8.60429,101010,9.03919,9.08269,9.00299,9.07779,147740,11.78999996,11.31000042,11.59000015,11.48999977,0,11.48999977,0.010365439,-1591576,50.17558981,1.061626972,1.034414457,0.006755472,828559,54.07632345,0.738263637,0.712016363,0.01226447,-4235015,39.13329452,1.24227565,1.214168636,0.009343807,1910829,39.94673806,1.365634852,1.313025148,0.00731623,-1113658,48.18577178,0.703270359,0.684695355,0.008602316,3135550,49.602069,1.033685849,1.010332723,1.311079218,1612292,51.84524096,118.4907465,115.4339678,0.088633183,2336901,53.47850941,8.785522411,8.480563303,0.092422,703066,45.23470776,9.333602639,8.951624504
2017-01-11,1.05546,1.06228,1.04537,1.05819,154709,0.73677,0.74718,0.73521,0.74403,181681,1.21755,1.22721,1.20376,1.22075,171343,1.32282,1.32942,1.31191,1.31781,181793,0.69887,0.70876,0.69609,0.70548,199054,1.01657,1.0248,1.01013,1.014,188183,115.762,116.871,114.242,115.406,247777,8.60039,8.67085,8.52279,8.55009,119461,9.07809,9.15278,9.00698,9.02239,188153,12.22999954,11.21000004,11.56000042,11.26000023,0,11.26000023,0.010832908,-1436867,52.0685398,1.062879589,1.035961839,0.007127938,1010240,60.60653135,0.743003013,0.709858416,0.013063436,-4063672,41.25975066,1.240861328,1.213357243,0.009927106,1729036,36.60631436,1.366700578,1.309276565,0.007698642,-914604,54.35971814,0.705970759,0.683984955,0.009035722,2947367,47.36698681,1.0328081,1.009174758,1.405216417,1364515,49.80165073,118.4354083,115.141306,0.092877955,2217440,48.81310479,8.775247888,8.46919497,0.096234714,514913,41.58026681,9.279864382,8.958977047
2017-01-12,1.05801,1.06845,1.05714,1.06112,154224,0.74409,0.75184,0.74297,0.7482,156689,1.22027,1.2317,1.21521,1.21562,155605,1.31785,1.31852,1.30292,1.31443,172850,0.70545,0.71443,0.70461,0.70908,169211,1.01378,1.01499,1.00559,1.01045,169990,115.345,115.512,113.753,114.711,241031,8.54859,8.55731,8.47619,8.52449,124633,9.02339,9.03287,8.90121,8.94979,200623,12.60000038,11.31999969,11.47999954,11.53999996,0,11.53999996,0.010866986,-1282643,54.03644797,1.064896878,1.036640265,0.007252371,1166929,63.76338697,0.748304118,0.708040167,0.013308191,-4219277,38.82666154,1.239885751,1.211531392,0.010332313,1556186,34.62523137,1.367324712,1.304832431,0.007850168,-745393,57.31596461,0.709221611,0.683492674,0.009061742,2777377,44.42360124,1.032400298,1.007261131,1.430486673,1123484,46.07731592,118.5076723,114.665042,0.092038101,2092807,46.73907268,8.768968621,8.453527093,0.098765092,314290,37.32470342,9.272278399,8.927615887
